,Total
434,35.160070000000005
435,34.451154
436,34.625615
437,34.457703
438,34.861438
439,33.36367
440,33.505361
441,34.12628
442,33.634275
443,33.165802
444,33.888151
445,33.617627999999996
446,33.534091000000004
447,33.569968
448,34.635926
449,34.240604
450,34.563716
451,34.633938
452,35.026455999999996
453,35.099638999999996
454,35.165651
455,34.61087
456,35.5315
457,35.261438
458,35.002841000000004
459,34.875744
460,35.128455
461,34.555306
462,33.9455
463,34.041017999999994
464,34.591107
465,34.039635
466,34.700928
467,34.356719
468,33.056543
469,33.721165
470,31.691416
471,33.435048
472,32.955812
473,33.421405
474,33.175094
475,34.120445
476,35.216347999999996
477,34.53918
478,35.563875
479,36.310767999999996
480,36.252557
481,35.591396
482,35.846303000000006
483,36.122985
484,36.212596
485,36.668213
486,35.145770999999996
487,34.743657
488,35.671582
489,35.367185
490,35.099704
491,35.155161
492,33.654797
493,33.77006
494,34.239360000000005
495,34.361374
496,32.16494
497,32.931236
498,33.104676999999995
499,33.696224
500,33.847033
501,33.535021
502,34.729872
503,35.908541
504,35.355691
505,36.396301
506,36.353502
507,35.053110000000004
508,36.259705
509,35.291062
510,35.659037999999995
511,35.099207
512,34.440371
513,34.180088999999995
514,32.827733
515,33.295074
516,32.737638000000004
517,32.462739
518,32.455217
519,32.622021000000004
520,31.171778
521,29.808699
522,29.315955000000002
523,29.221566
524,29.913448000000002
525,29.744298
526,29.455542
527,33.287982
528,35.146846000000004
529,34.530601
530,34.873772
531,33.948048
532,31.109778999999996
533,31.687882000000002
534,31.472139
535,33.073578
536,34.335811
537,34.426124
538,34.204809999999995
539,34.074377
540,34.423071
541,33.552702000000004
542,34.558381
543,35.453532
544,33.186807
545,32.695358
546,30.643562
547,29.019910000000003
548,27.585509000000002
549,27.758874
550,30.084229999999998
551,29.055574
552,30.240102
553,29.57041
554,32.093974
555,32.134117
556,32.894741
557,33.93186
558,34.197049
559,33.07419
560,32.255507
561,33.083525
562,33.671064
563,35.36845
564,35.159012
565,36.104181
566,36.261273
567,35.914984000000004
568,35.935219000000004
569,35.297647
570,35.847438999999994
571,34.86095
572,34.196989
573,33.130239
574,31.867846999999998
575,32.194328
576,32.070724
577,32.936192
578,33.542113
579,33.007293
580,32.045434
581,32.882612
582,33.34664
583,33.641782
584,32.697717
585,33.542693
586,33.126577
587,33.717346
588,33.725756
589,34.166417
590,33.731747
591,34.157015
592,34.454317
593,33.454812
594,33.10335
595,32.616684
596,32.979729
597,30.527318
598,30.04229
599,28.74374
600,30.932867
601,33.785982
602,34.043546
603,33.558688000000004
604,33.041782
605,33.461041
606,33.57271
607,34.256541
608,32.950491
609,32.284554
610,33.632670000000005
611,32.991254
612,33.17609
613,33.509978000000004
614,33.877468
615,33.610679000000005
616,32.585296
617,33.296499999999995
618,33.40561099999999
619,33.763763
620,32.612599
621,34.150301
622,34.197047
623,33.460351
624,35.034199
625,34.588715
626,35.126027
627,34.419169
628,35.363057
629,35.572148
630,35.917854
631,35.613676
632,34.323299
633,33.432592
634,34.258459
635,34.097358
636,34.484324
637,35.454018000000005
638,34.294022
639,34.625359
640,34.332887
641,32.585922000000004
642,33.045404
643,33.846182
644,33.180349
645,33.519588
646,32.113631999999996
647,32.926006
648,33.456885
649,32.362176000000005
650,32.556562
651,32.666253
652,32.275405
653,33.263629
654,33.313387
655,34.569339
656,34.730709000000004
657,33.056554
658,34.241893
659,34.327962
660,34.256510000000006
661,34.453784999999996
662,32.834955
663,33.238675
664,33.704086000000004
665,32.534819999999996
666,33.281787
667,31.893666
668,31.206021999999997
669,31.167198
670,31.363360999999998
671,30.478197
672,31.030438000000004
673,31.925276000000004
674,30.72053
675,30.002825
676,32.106044
677,32.587187
678,31.331941
679,29.577621
680,28.570413
681,27.664172
682,28.15832
683,29.216603
684,29.688934
685,30.497662
686,28.499698000000002
687,29.369058
688,33.412954
689,32.763974
690,33.057696
691,35.548418
692,33.889735
693,33.851653
694,33.895337
695,34.624714999999995
696,33.889599
697,33.100626000000005
698,32.800817
699,32.225856
700,33.456289
701,32.382003
702,33.255746
703,33.436603
704,32.746719999999996
705,32.45076
706,33.92936
707,33.084179
708,33.014256
709,33.063426
710,32.364351
711,32.744603999999995
712,33.538607999999996
713,32.644885
714,33.135325
715,32.503530999999995
716,32.555991999999996
717,32.49577
718,32.694581
719,31.791853
720,32.68106
721,31.02094
722,31.385495
723,30.669620000000002
724,33.813123000000004
725,33.099373
726,33.292209
727,33.771579
728,32.852797
729,33.178107000000004
730,32.382219
731,33.113329
732,33.844327
733,33.478702999999996
734,33.583971
735,32.561349
736,33.104773
737,33.276304
738,33.219668999999996
739,32.392108
740,31.974368
741,32.910486
